M family Used Cars|111 Old Benbrook Rd|817-555-5555
10112|2023|Toyota|Camry|car|White|15234|24995.00
20334|2019|Ford|Explorer|SUV|Black|62541|21500.00
30456|2015|Honda|Civic|car|Silver|98432|10995.00
40578|2022|Chevrolet|Silverado|truck|Red|22100|38500.00
50690|2018|Nissan|Altima|car|Blue|74321|13995.00
60712|2021|Jeep|Wrangler|SUV|Green|31200|34750.00
70834|2012|Ford|Ranger|truck|Gray|143500|8995.00
80956|2020|Honda|Odyssey|van|White|45670|27500.00
91078|2016|BMW|X5|SUV|Black|88234|22995.00
11200|2024|Toyota|Tacoma|truck|Blue|5100|41995.00
12322|2014|Chevrolet|Malibu|car|Red|112400|7500.00
13444|2023|Kia|Telluride|SUV|Gray|18900|38995.00
14566|2017|Honda|Pilot|van|Silver|79300|19995.00
15688|2011|Ford|Mustang|car|Yellow|134200|9995.00
16800|2022|Ram|1500|truck|Black|28700|44500.00
17922|2019|Subaru|Outback|car|Green|55400|18995.00
18044|2013|Toyota|Sienna|van|White|121300|9500.00
19166|2021|Hyundai|Tucson|SUV|Red|33400|26995.00
20288|2016|Nissan|Frontier|truck|Gray|97800|13500.00
21400|2024|Honda|CRV|SUV|Blue|3200|35995.00
